id,vae_x,vae_y,vae_eventTags,vae_cluster_label,tft_x,tft_y,tft_eventTags,tft_cluster_label
79-2,-4.4934597,6.0212474,Conditions::Weather::High Winds/r/nConditions::Weather::Heavy Rain/r/nEquipment::Overhead Equipment::Conductor/r/nConditions::Equipment Conditions::Live wire on ground,0,5.2477527,-1.3994612,Conditions::Weather::High Winds/r/nConditions::Weather::Heavy Rain/r/nEquipment::Overhead Equipment::Conductor/r/nConditions::Equipment Conditions::Live wire on ground,0
80-1,2.7883708,10.779218,State::Change State::Power Failure/r/nEvents::Vegetation::Nonspecific Vegetation,0,4.6745787,-2.1640005,State::Change State::Power Failure/r/nEvents::Vegetation::Nonspecific Vegetation,0
80-2,4.3324947,7.7421536,State::Change State::Power Failure/r/nEvents::Vegetation::Nonspecific Vegetation,0,4.4257913,-2.035807,State::Change State::Power Failure/r/nEvents::Vegetation::Nonspecific Vegetation,0
81-1,-5.353986,-2.7455366,Events::Protection Event::Fuse Blow/r/nEvents::External::Lightning Strike/r/nEquipment::Interrupting Device::Fuse,0,3.769754,-0.33741874,Events::Protection Event::Fuse Blow/r/nEvents::External::Lightning Strike/r/nEquipment::Interrupting Device::Fuse,0
81-2,-5.8108144,-0.1602994,Events::Protection Event::Fuse Blow/r/nEvents::External::Lightning Strike/r/nEquipment::Interrupting Device::Fuse,0,3.782101,-0.011240242,Events::Protection Event::Fuse Blow/r/nEvents::External::Lightning Strike/r/nEquipment::Interrupting Device::Fuse,0
82-1,-5.210664,-2.637472,Events::Equipment Failure::Transformer Failure/r/nEquipment::Transformer::Nonspecific Transformer,0,3.7697766,-0.33741224,Events::Equipment Failure::Transformer Failure/r/nEquipment::Transformer::Nonspecific Transformer,0
82-2,-5.8108144,-0.1602994,Events::Equipment Failure::Transformer Failure/r/nEquipment::Transformer::Nonspecific Transformer,0,0.9839486,-0.31154412,Events::Equipment Failure::Transformer Failure/r/nEquipment::Transformer::Nonspecific Transformer,0
97-1,-5.596355,2.855361,State::Change State::Close/r/nEquipment::Interrupting Device::Fuse Cutout/r/nEquipment::Transformer::Nonspecific Transformer,0,0.7540002,0.56159335,State::Change State::Close/r/nEquipment::Interrupting Device::Fuse Cutout/r/nEquipment::Transformer::Nonspecific Transformer,0
97-2,-4.843815,5.7680016,State::Change State::Close/r/nEquipment::Interrupting Device::Fuse Cutout/r/nEquipment::Transformer::Nonspecific Transformer,0,0.76085633,1.3095452,State::Change State::Close/r/nEquipment::Interrupting Device::Fuse Cutout/r/nEquipment::Transformer::Nonspecific Transformer,0
98-1,-2.8448315,-3.7132127,Events::Other::Unknown,0,2.4689238,-2.224899,Events::Other::Unknown,0
98-2,-3.9113772,-3.2021375,Events::Other::Unknown,0,2.1111186,-1.8026735,Events::Other::Unknown,0
99-1,-4.694443,-2.6552274,State::Change State::Increase/r/nEvents::External::Lightning Strike,0,-12.84791,-0.98776776,State::Change State::Increase/r/nEvents::External::Lightning Strike,0
99-2,-5.7145176,-0.4993873,State::Change State::Increase/r/nEvents::External::Lightning Strike,0,-12.136265,0.45136395,State::Change State::Increase/r/nEvents::External::Lightning Strike,0
